_unit_id,_created_at,_id,_started_at,_tainted,_channel,_trust,_worker_id,_country,_region,_city,_ip,if_you_had_difficulties_answering_these_questions_please_explain_here_why,speaker_a__leads_the_dialogue,speaker_a_is_flexible_in_the_choice_of_the_restaurant,speaker_b_is_flexible_in_the_choice_of_the_restaurant,speaker_b_leads_the_dialogue,content,if_you_had_difficulties_answering_these_questions_please_explain_here_why_gold,speaker_a__leads_the_dialogue_gold,speaker_a_is_flexible_in_the_choice_of_the_restaurant_gold,speaker_b_is_flexible_in_the_choice_of_the_restaurant_gold,speaker_b_leads_the_dialogue_gold
1079677285,11/4/2016 11:53:04,2205805869,11/4/2016 11:50:36,false,neodev,0.625,32123109,SRB,00,Kragujevac,178.221.228.11,,5,3,3,4,"<b><br>    A: ""Let's go to a Chinese restaurant.""<br><br>    &nbsp&nbsp&nbsp&nbspB: ""Okay.""<br><br>    A: ""Let's go to the Dragon restaurant. It's a lively, cheap Chinese restaurant.""<br><br>    &nbsp&nbsp&nbsp&nbspB: ""I don't like lively restaurants.""<br><br>    A: ""Let's go to a quiet restaurant.""<br><br>    &nbsp&nbsp&nbsp&nbspB: ""Okay.""<br><br>    A: ""Let's go to the Yong restaurant. It's a quiet, expensive Chinese restaurant.""<br><br>    &nbsp&nbsp&nbsp&nbspB: ""Okay. Let's go to the Yong restaurant.""<br><br>    A: ""Okay. I'll call to book a table.""<br></b>",,,,,
1079677285,11/4/2016 11:53:08,2205805952,11/4/2016 11:52:03,false,neodev,0.625,33110177,VEN,"","",186.94.44.145,,5,4,2,2,"<b><br>    A: ""Let's go to a Chinese restaurant.""<br><br>    &nbsp&nbsp&nbsp&nbspB: ""Okay.""<br><br>    A: ""Let's go to the Dragon restaurant. It's a lively, cheap Chinese restaurant.""<br><br>    &nbsp&nbsp&nbsp&nbspB: ""I don't like lively restaurants.""<br><br>    A: ""Let's go to a quiet restaurant.""<br><br>    &nbsp&nbsp&nbsp&nbspB: ""Okay.""<br><br>    A: ""Let's go to the Yong restaurant. It's a quiet, expensive Chinese restaurant.""<br><br>    &nbsp&nbsp&nbsp&nbspB: ""Okay. Let's go to the Yong restaurant.""<br><br>    A: ""Okay. I'll call to book a table.""<br></b>",,,,,
1079677285,11/4/2016 11:53:23,2205806188,11/4/2016 11:52:01,false,neodev,0.4167,33425823,VEN,"","",190.75.130.221,,4,5,4,2,"<b><br>    A: ""Let's go to a Chinese restaurant.""<br><br>    &nbsp&nbsp&nbsp&nbspB: ""Okay.""<br><br>    A: ""Let's go to the Dragon restaurant. It's a lively, cheap Chinese restaurant.""<br><br>    &nbsp&nbsp&nbsp&nbspB: ""I don't like lively restaurants.""<br><br>    A: ""Let's go to a quiet restaurant.""<br><br>    &nbsp&nbsp&nbsp&nbspB: ""Okay.""<br><br>    A: ""Let's go to the Yong restaurant. It's a quiet, expensive Chinese restaurant.""<br><br>    &nbsp&nbsp&nbsp&nbspB: ""Okay. Let's go to the Yong restaurant.""<br><br>    A: ""Okay. I'll call to book a table.""<br></b>",,,,,
1079677285,11/4/2016 11:53:25,2205806243,11/4/2016 11:52:01,false,elite,0.5,39247625,TUR,81,Adana,176.42.66.96,,5,5,3,2,"<b><br>    A: ""Let's go to a Chinese restaurant.""<br><br>    &nbsp&nbsp&nbsp&nbspB: ""Okay.""<br><br>    A: ""Let's go to the Dragon restaurant. It's a lively, cheap Chinese restaurant.""<br><br>    &nbsp&nbsp&nbsp&nbspB: ""I don't like lively restaurants.""<br><br>    A: ""Let's go to a quiet restaurant.""<br><br>    &nbsp&nbsp&nbsp&nbspB: ""Okay.""<br><br>    A: ""Let's go to the Yong restaurant. It's a quiet, expensive Chinese restaurant.""<br><br>    &nbsp&nbsp&nbsp&nbspB: ""Okay. Let's go to the Yong restaurant.""<br><br>    A: ""Okay. I'll call to book a table.""<br></b>",,,,,
1079677285,11/4/2016 11:53:30,2205806278,11/4/2016 11:52:30,false,neodev,0.4,17698497,GRC,35,Athens,79.129.212.253,,2,5,2,4,"<b><br>    A: ""Let's go to a Chinese restaurant.""<br><br>    &nbsp&nbsp&nbsp&nbspB: ""Okay.""<br><br>    A: ""Let's go to the Dragon restaurant. It's a lively, cheap Chinese restaurant.""<br><br>    &nbsp&nbsp&nbsp&nbspB: ""I don't like lively restaurants.""<br><br>    A: ""Let's go to a quiet restaurant.""<br><br>    &nbsp&nbsp&nbsp&nbspB: ""Okay.""<br><br>    A: ""Let's go to the Yong restaurant. It's a quiet, expensive Chinese restaurant.""<br><br>    &nbsp&nbsp&nbsp&nbspB: ""Okay. Let's go to the Yong restaurant.""<br><br>    A: ""Okay. I'll call to book a table.""<br></b>",,,,,
1079677285,11/4/2016 11:54:13,2205807107,11/4/2016 11:51:50,false,neodev,0.35,38832127,USA,FL,Fort Lauderdale,65.111.173.161,,4,4,2,2,"<b><br>    A: ""Let's go to a Chinese restaurant.""<br><br>    &nbsp&nbsp&nbsp&nbspB: ""Okay.""<br><br>    A: ""Let's go to the Dragon restaurant. It's a lively, cheap Chinese restaurant.""<br><br>    &nbsp&nbsp&nbsp&nbspB: ""I don't like lively restaurants.""<br><br>    A: ""Let's go to a quiet restaurant.""<br><br>    &nbsp&nbsp&nbsp&nbspB: ""Okay.""<br><br>    A: ""Let's go to the Yong restaurant. It's a quiet, expensive Chinese restaurant.""<br><br>    &nbsp&nbsp&nbsp&nbspB: ""Okay. Let's go to the Yong restaurant.""<br><br>    A: ""Okay. I'll call to book a table.""<br></b>",,,,,
1079677285,11/4/2016 11:54:33,2205807450,11/4/2016 11:54:16,false,neodev,0.5625,35602567,TUR,34,Istanbul,78.188.216.175,very easy,5,4,2,2,"<b><br>    A: ""Let's go to a Chinese restaurant.""<br><br>    &nbsp&nbsp&nbsp&nbspB: ""Okay.""<br><br>    A: ""Let's go to the Dragon restaurant. It's a lively, cheap Chinese restaurant.""<br><br>    &nbsp&nbsp&nbsp&nbspB: ""I don't like lively restaurants.""<br><br>    A: ""Let's go to a quiet restaurant.""<br><br>    &nbsp&nbsp&nbsp&nbspB: ""Okay.""<br><br>    A: ""Let's go to the Yong restaurant. It's a quiet, expensive Chinese restaurant.""<br><br>    &nbsp&nbsp&nbsp&nbspB: ""Okay. Let's go to the Yong restaurant.""<br><br>    A: ""Okay. I'll call to book a table.""<br></b>",,,,,
1079677285,11/4/2016 11:54:36,2205807517,11/4/2016 11:51:44,false,neodev,0.3438,11481352,ESP,56,Barcelona,79.147.159.229,,3,4,2,3,"<b><br>    A: ""Let's go to a Chinese restaurant.""<br><br>    &nbsp&nbsp&nbsp&nbspB: ""Okay.""<br><br>    A: ""Let's go to the Dragon restaurant. It's a lively, cheap Chinese restaurant.""<br><br>    &nbsp&nbsp&nbsp&nbspB: ""I don't like lively restaurants.""<br><br>    A: ""Let's go to a quiet restaurant.""<br><br>    &nbsp&nbsp&nbsp&nbspB: ""Okay.""<br><br>    A: ""Let's go to the Yong restaurant. It's a quiet, expensive Chinese restaurant.""<br><br>    &nbsp&nbsp&nbsp&nbspB: ""Okay. Let's go to the Yong restaurant.""<br><br>    A: ""Okay. I'll call to book a table.""<br></b>",,,,,
1079677285,11/4/2016 11:55:07,2205808027,11/4/2016 11:52:16,false,clixsense,0.2222,34461872,BRA,08,Vitória,177.40.140.156,nao tive dificuldades,5,2,5,5,"<b><br>    A: ""Let's go to a Chinese restaurant.""<br><br>    &nbsp&nbsp&nbsp&nbspB: ""Okay.""<br><br>    A: ""Let's go to the Dragon restaurant. It's a lively, cheap Chinese restaurant.""<br><br>    &nbsp&nbsp&nbsp&nbspB: ""I don't like lively restaurants.""<br><br>    A: ""Let's go to a quiet restaurant.""<br><br>    &nbsp&nbsp&nbsp&nbspB: ""Okay.""<br><br>    A: ""Let's go to the Yong restaurant. It's a quiet, expensive Chinese restaurant.""<br><br>    &nbsp&nbsp&nbsp&nbspB: ""Okay. Let's go to the Yong restaurant.""<br><br>    A: ""Okay. I'll call to book a table.""<br></b>",,,,,
1079677285,11/4/2016 11:55:29,2205808407,11/4/2016 11:52:06,false,neodev,0.425,11172894,IND,28,Kolkata,117.194.85.247,,5,5,2,1,"<b><br>    A: ""Let's go to a Chinese restaurant.""<br><br>    &nbsp&nbsp&nbsp&nbspB: ""Okay.""<br><br>    A: ""Let's go to the Dragon restaurant. It's a lively, cheap Chinese restaurant.""<br><br>    &nbsp&nbsp&nbsp&nbspB: ""I don't like lively restaurants.""<br><br>    A: ""Let's go to a quiet restaurant.""<br><br>    &nbsp&nbsp&nbsp&nbspB: ""Okay.""<br><br>    A: ""Let's go to the Yong restaurant. It's a quiet, expensive Chinese restaurant.""<br><br>    &nbsp&nbsp&nbsp&nbspB: ""Okay. Let's go to the Yong restaurant.""<br><br>    A: ""Okay. I'll call to book a table.""<br></b>",,,,,
