_unit_id,_created_at,_id,_started_at,_tainted,_channel,_trust,_worker_id,_country,_region,_city,_ip,if_you_had_difficulties_answering_these_questions_please_explain_here_why,speaker_a__is_selfcentered,speaker_a_gives_up_his_position_in_the_negotiation,speaker_a_is_demanding,speaker_a_likes_expensive_restaurants,speaker_a_makes_concessions_in_the_negotiation,speaker_a_presses_his_position_in_the_negotiation,speaker_a_takes_his_friends_preferences_into_account_in_the_choice_of_the_restaurant,speaker_a_takes_the_initiative_in_the_negotiation,speaker_a_takes_the_lead_in_the_negotiation,speaker_b_gives_up_his_position_in_the_negotiation,speaker_b_is_demanding,speaker_b_is_selfcentered,speaker_b_likes_chinese_restaurants,speaker_b_makes_concessions_in_the_negotiation,speaker_b_presses_his_position_in_the_negotiation,speaker_b_takes_his_friends_preferences_into_account_in_the_choice_of_the_restaurant,speaker_b_takes_the_initiative_in_the_negotiation,speaker_b_takes_the_lead_in_the_negotiation,content,if_you_had_difficulties_answering_these_questions_please_explain_here_why_gold,speaker_a__is_selfcentered_gold,speaker_a_gives_up_his_position_in_the_negotiation_gold,speaker_a_is_demanding_gold,speaker_a_likes_expensive_restaurants_gold,speaker_a_makes_concessions_in_the_negotiation_gold,speaker_a_presses_his_position_in_the_negotiation_gold,speaker_a_takes_his_friends_preferences_into_account_in_the_choice_of_the_restaurant_gold,speaker_a_takes_the_initiative_in_the_negotiation_gold,speaker_a_takes_the_lead_in_the_negotiation_gold,speaker_b_gives_up_his_position_in_the_negotiation_gold,speaker_b_is_demanding_gold,speaker_b_is_selfcentered_gold,speaker_b_likes_chinese_restaurants_gold,speaker_b_makes_concessions_in_the_negotiation_gold,speaker_b_presses_his_position_in_the_negotiation_gold,speaker_b_takes_his_friends_preferences_into_account_in_the_choice_of_the_restaurant_gold,speaker_b_takes_the_initiative_in_the_negotiation_gold,speaker_b_takes_the_lead_in_the_negotiation_gold
1168714782,3/2/2017 09:17:51,2408554217,3/2/2017 09:16:08,false,clixsense,1.0,11767390,USA,WA,Puyallup,73.221.247.11,,5,5,5,5,5,5,5,5,5,5,1,1,1,5,5,4,1,5,"<br>A: ""Let's go to a Chinese restaurant.""<br><br>&nbsp&nbsp&nbsp&nbspB: ""I don't like Chinese restaurants, let's choose something else.""<br><br>A: ""Let's go to a cheap restaurant.""<br><br>&nbsp&nbsp&nbsp&nbspB: ""Do you like expensive restaurants?""<br><br>A: ""I don't like expensive restaurants.""<br><br>&nbsp&nbsp&nbsp&nbspB: ""Do you like affordable restaurants?""<br><br>A: ""Let's go to a cheap restaurant.""<br><br>&nbsp&nbsp&nbsp&nbspB: ""Okay, let's go to a cheap restaurant.""<br><br>A: ""Let's go to the Sap. It's a quiet, cheap Japanese restaurant on the south side.""<br><br>&nbsp&nbsp&nbsp&nbspB: ""Okay, let's go to the Sap restaurant.""<br>",,,,,,,,,,,,,,,,,,,
1168714782,3/2/2017 09:18:18,2408554475,3/2/2017 09:16:16,false,bitcoinget,0.5278,40493244,USA,UT,Providence,107.182.233.227,,4,2,4,2,3,4,3,4,4,4,2,2,2,3,3,4,4,2,"<br>A: ""Let's go to a Chinese restaurant.""<br><br>&nbsp&nbsp&nbsp&nbspB: ""I don't like Chinese restaurants, let's choose something else.""<br><br>A: ""Let's go to a cheap restaurant.""<br><br>&nbsp&nbsp&nbsp&nbspB: ""Do you like expensive restaurants?""<br><br>A: ""I don't like expensive restaurants.""<br><br>&nbsp&nbsp&nbsp&nbspB: ""Do you like affordable restaurants?""<br><br>A: ""Let's go to a cheap restaurant.""<br><br>&nbsp&nbsp&nbsp&nbspB: ""Okay, let's go to a cheap restaurant.""<br><br>A: ""Let's go to the Sap. It's a quiet, cheap Japanese restaurant on the south side.""<br><br>&nbsp&nbsp&nbsp&nbspB: ""Okay, let's go to the Sap restaurant.""<br>",,,,,,,,,,,,,,,,,,,
1168714782,3/2/2017 09:19:25,2408555026,3/2/2017 09:17:03,false,elite,0.4815,30000442,GBR,K4,Plymouth,77.101.44.101,,1,1,5,1,5,5,1,5,5,5,1,4,1,2,1,5,2,1,"<br>A: ""Let's go to a Chinese restaurant.""<br><br>&nbsp&nbsp&nbsp&nbspB: ""I don't like Chinese restaurants, let's choose something else.""<br><br>A: ""Let's go to a cheap restaurant.""<br><br>&nbsp&nbsp&nbsp&nbspB: ""Do you like expensive restaurants?""<br><br>A: ""I don't like expensive restaurants.""<br><br>&nbsp&nbsp&nbsp&nbspB: ""Do you like affordable restaurants?""<br><br>A: ""Let's go to a cheap restaurant.""<br><br>&nbsp&nbsp&nbsp&nbspB: ""Okay, let's go to a cheap restaurant.""<br><br>A: ""Let's go to the Sap. It's a quiet, cheap Japanese restaurant on the south side.""<br><br>&nbsp&nbsp&nbsp&nbspB: ""Okay, let's go to the Sap restaurant.""<br>",,,,,,,,,,,,,,,,,,,
1168714782,3/2/2017 09:19:41,2408555212,3/2/2017 09:16:05,false,bitcoinget,0.375,41098096,USA,VA,Manassas,199.115.117.81,,2,3,3,2,4,2,4,4,4,2,3,2,1,4,2,4,2,4,"<br>A: ""Let's go to a Chinese restaurant.""<br><br>&nbsp&nbsp&nbsp&nbspB: ""I don't like Chinese restaurants, let's choose something else.""<br><br>A: ""Let's go to a cheap restaurant.""<br><br>&nbsp&nbsp&nbsp&nbspB: ""Do you like expensive restaurants?""<br><br>A: ""I don't like expensive restaurants.""<br><br>&nbsp&nbsp&nbsp&nbspB: ""Do you like affordable restaurants?""<br><br>A: ""Let's go to a cheap restaurant.""<br><br>&nbsp&nbsp&nbsp&nbspB: ""Okay, let's go to a cheap restaurant.""<br><br>A: ""Let's go to the Sap. It's a quiet, cheap Japanese restaurant on the south side.""<br><br>&nbsp&nbsp&nbsp&nbspB: ""Okay, let's go to the Sap restaurant.""<br>",,,,,,,,,,,,,,,,,,,
1168714782,3/2/2017 09:21:32,2408556118,3/2/2017 09:18:50,false,neodev,0.4667,20306047,GBR,C3,Huntingdon,79.68.56.121,,4,3,3,1,3,2,4,4,4,4,2,3,1,4,3,4,2,2,"<br>A: ""Let's go to a Chinese restaurant.""<br><br>&nbsp&nbsp&nbsp&nbspB: ""I don't like Chinese restaurants, let's choose something else.""<br><br>A: ""Let's go to a cheap restaurant.""<br><br>&nbsp&nbsp&nbsp&nbspB: ""Do you like expensive restaurants?""<br><br>A: ""I don't like expensive restaurants.""<br><br>&nbsp&nbsp&nbsp&nbspB: ""Do you like affordable restaurants?""<br><br>A: ""Let's go to a cheap restaurant.""<br><br>&nbsp&nbsp&nbsp&nbspB: ""Okay, let's go to a cheap restaurant.""<br><br>A: ""Let's go to the Sap. It's a quiet, cheap Japanese restaurant on the south side.""<br><br>&nbsp&nbsp&nbsp&nbspB: ""Okay, let's go to the Sap restaurant.""<br>",,,,,,,,,,,,,,,,,,,
1168714782,3/2/2017 09:22:28,2408556610,3/2/2017 09:18:48,false,tremorgames,0.4167,37766446,USA,FL,Fort Lauderdale,73.139.58.24,,4,1,4,1,2,5,2,2,2,4,2,2,1,4,2,4,4,4,"<br>A: ""Let's go to a Chinese restaurant.""<br><br>&nbsp&nbsp&nbsp&nbspB: ""I don't like Chinese restaurants, let's choose something else.""<br><br>A: ""Let's go to a cheap restaurant.""<br><br>&nbsp&nbsp&nbsp&nbspB: ""Do you like expensive restaurants?""<br><br>A: ""I don't like expensive restaurants.""<br><br>&nbsp&nbsp&nbsp&nbspB: ""Do you like affordable restaurants?""<br><br>A: ""Let's go to a cheap restaurant.""<br><br>&nbsp&nbsp&nbsp&nbspB: ""Okay, let's go to a cheap restaurant.""<br><br>A: ""Let's go to the Sap. It's a quiet, cheap Japanese restaurant on the south side.""<br><br>&nbsp&nbsp&nbsp&nbspB: ""Okay, let's go to the Sap restaurant.""<br>",,,,,,,,,,,,,,,,,,,
1168714782,3/2/2017 09:25:40,2408558311,3/2/2017 09:19:33,false,bitcoinget,0.4048,40462112,USA,TX,Dallas,142.0.194.180,,2,4,4,4,4,4,4,2,3,4,2,1,1,4,5,4,4,4,"<br>A: ""Let's go to a Chinese restaurant.""<br><br>&nbsp&nbsp&nbsp&nbspB: ""I don't like Chinese restaurants, let's choose something else.""<br><br>A: ""Let's go to a cheap restaurant.""<br><br>&nbsp&nbsp&nbsp&nbspB: ""Do you like expensive restaurants?""<br><br>A: ""I don't like expensive restaurants.""<br><br>&nbsp&nbsp&nbsp&nbspB: ""Do you like affordable restaurants?""<br><br>A: ""Let's go to a cheap restaurant.""<br><br>&nbsp&nbsp&nbsp&nbspB: ""Okay, let's go to a cheap restaurant.""<br><br>A: ""Let's go to the Sap. It's a quiet, cheap Japanese restaurant on the south side.""<br><br>&nbsp&nbsp&nbsp&nbspB: ""Okay, let's go to the Sap restaurant.""<br>",,,,,,,,,,,,,,,,,,,
1168714782,3/2/2017 09:28:02,2408559383,3/2/2017 09:21:16,false,neodev,0.4167,13197642,GBR,I2,Manchester,212.250.238.196,,3,2,2,1,4,2,4,3,2,4,2,3,1,4,2,4,3,4,"<br>A: ""Let's go to a Chinese restaurant.""<br><br>&nbsp&nbsp&nbsp&nbspB: ""I don't like Chinese restaurants, let's choose something else.""<br><br>A: ""Let's go to a cheap restaurant.""<br><br>&nbsp&nbsp&nbsp&nbspB: ""Do you like expensive restaurants?""<br><br>A: ""I don't like expensive restaurants.""<br><br>&nbsp&nbsp&nbsp&nbspB: ""Do you like affordable restaurants?""<br><br>A: ""Let's go to a cheap restaurant.""<br><br>&nbsp&nbsp&nbsp&nbspB: ""Okay, let's go to a cheap restaurant.""<br><br>A: ""Let's go to the Sap. It's a quiet, cheap Japanese restaurant on the south side.""<br><br>&nbsp&nbsp&nbsp&nbspB: ""Okay, let's go to the Sap restaurant.""<br>",,,,,,,,,,,,,,,,,,,
1168714782,3/2/2017 09:32:27,2408561516,3/2/2017 09:27:51,false,neodev,0.4383,41903929,USA,"","",149.86.208.122,,2,2,4,1,4,3,4,2,4,4,2,2,1,3,2,5,4,2,"<br>A: ""Let's go to a Chinese restaurant.""<br><br>&nbsp&nbsp&nbsp&nbspB: ""I don't like Chinese restaurants, let's choose something else.""<br><br>A: ""Let's go to a cheap restaurant.""<br><br>&nbsp&nbsp&nbsp&nbspB: ""Do you like expensive restaurants?""<br><br>A: ""I don't like expensive restaurants.""<br><br>&nbsp&nbsp&nbsp&nbspB: ""Do you like affordable restaurants?""<br><br>A: ""Let's go to a cheap restaurant.""<br><br>&nbsp&nbsp&nbsp&nbspB: ""Okay, let's go to a cheap restaurant.""<br><br>A: ""Let's go to the Sap. It's a quiet, cheap Japanese restaurant on the south side.""<br><br>&nbsp&nbsp&nbsp&nbspB: ""Okay, let's go to the Sap restaurant.""<br>",,,,,,,,,,,,,,,,,,,
1168714782,3/2/2017 09:35:13,2408562849,3/2/2017 09:32:48,false,clixsense,0.4889,29095456,IRL,07,Dublin,89.101.10.65,,4,1,4,1,2,4,2,5,4,4,2,2,1,4,2,4,2,2,"<br>A: ""Let's go to a Chinese restaurant.""<br><br>&nbsp&nbsp&nbsp&nbspB: ""I don't like Chinese restaurants, let's choose something else.""<br><br>A: ""Let's go to a cheap restaurant.""<br><br>&nbsp&nbsp&nbsp&nbspB: ""Do you like expensive restaurants?""<br><br>A: ""I don't like expensive restaurants.""<br><br>&nbsp&nbsp&nbsp&nbspB: ""Do you like affordable restaurants?""<br><br>A: ""Let's go to a cheap restaurant.""<br><br>&nbsp&nbsp&nbsp&nbspB: ""Okay, let's go to a cheap restaurant.""<br><br>A: ""Let's go to the Sap. It's a quiet, cheap Japanese restaurant on the south side.""<br><br>&nbsp&nbsp&nbsp&nbspB: ""Okay, let's go to the Sap restaurant.""<br>",,,,,,,,,,,,,,,,,,,
